"filename", "language", "JSON with Comments", "JSON", "TOML", "TypeScript", "Markdown", "Ignore", "JavaScript", "YAML", "HTML", "Rust", "XML", "TypeScript JSX", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/hieu/Work/crea8r/phanuel/app/web/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 2, 14, 115
"/Users/hieu/Work/crea8r/phanuel/app/web/src/input.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/Users/hieu/Work/crea8r/phanuel/app/web/src/layout/v0.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 9, 5, 120
"/Users/hieu/Work/crea8r/phanuel/app/web/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 2, 3, 43
"/Users/hieu/Work/crea8r/phanuel/app/web/src/output.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 762, 167, 200, 1129
"/Users/hieu/Work/crea8r/phanuel/app/web/src/pages/Admin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 6, 150
"/Users/hieu/Work/crea8r/phanuel/app/web/src/pages/Intro.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 2, 67
"/Users/hieu/Work/crea8r/phanuel/app/web/src/pages/Wallet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 315, 0, 0, 3, 3, 321
"/Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/AllMembers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 3, 113
"/Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/CreateToken.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 3, 96
"/Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/ManageMember.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 2, 2, 222
"/Users/hieu/Work/crea8r/phanuel/app/web/src/pages/fragments/Mint.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 3, 193
